,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
0,"[(222, 0), (223, 0), (224, 0), (225, 0)]",222,4,a,"[222, 223, 224, 225]"," zanguei. Contei [a] [a]nedota [a]os [a]migos da cidade,",169
1,"[(1534, 1), (1535, 0), (1535, 4)]",1534,3,dZi,"[1534, 1535, 1535]","
- Uma gran[de] [di]ficulda[de].
 Minha",1194
2,"[(2293, 0), (2295, 0), (2296, 2)]",2293,3,si,"[2293, 2295, 2296]"," Dias desculpava- [se]: [se] soubes[se], não teria",1748
3,"[(2352, 0), (2355, 2), (2356, 0)]",2352,3,a,"[2352, 2355, 2356]","; não as [ha]vendo,
 servi[a] [a] prolongar as frases",1791
4,"[(2665, 1), (2666, 0), (2667, 0)]",2665,3,a,"[2665, 2666, 2667]", nascer. Um di[a] [a]pareceu [a]li vendendo- se,2032
5,"[(4369, 1), (4370, 0), (4371, 0), (4372, 2)]",4369,4,du,"[4369, 4370, 4371, 4372]"," dela, ao la[do] [do] [do] mari[do], tais quais",3351
6,"[(4829, 0), (4830, 3), (4834, 0)]",4829,3,a,"[4829, 4830, 4834]"," das rabecas, [a] sinfoni[a]... [a]gora é que eu",3727
7,"[(6162, 0), (6163, 0), (6164, 3)]",6162,3,a,"[6162, 6163, 6164]","
 CAPÍTULO X [a]ceito [a] teori[a]
 Que é",4757
8,"[(6204, 0), (6206, 0), (6207, 0), (6208, 3)]",6204,4,a,"[6204, 6206, 6207, 6208]"," Eu, leitor [a]migo, [a]ceito [a] teori[a] do meu velho",4789
9,"[(7579, 0), (7580, 3), (7581, 0)]",7579,3,a,"[7579, 7580, 7581]"," francamente, só [a]gora entendi[a] [a] comoção que me",5862
10,"[(7846, 2), (7848, 3), (7851, 3)]",7846,3,va~w~,"[7846, 7848, 7851]"," as minhas pernas anda[vam], desanda[vam],
 estaca[vam], trêmulas e",6074
11,"[(8027, 0), (8027, 2), (8028, 0)]",8027,3,a,"[8027, 8027, 8028]", do muro. [ha]vi[a] [a]li uma porta de,6211
12,"[(9807, 0), (9808, 0), (9808, 2)]",9807,3,a,"[9807, 9808, 9808]"," e tamanho. [a] [á]re[a] que
 havia",7560
13,"[(10023, 0), (10024, 1), (10026, 0)]",10023,3,a,"[10023, 10024, 10026]"," cheia, como [a] ti[a], [a] mesma cabeça,",7727
14,"[(10288, 0), (10288, 3), (10289, 0)]",10288,3,a,"[10288, 10288, 10289]", mas ele não [a]tendi[a] [a] cousa nenhuma.,7938
15,"[(10697, 0), (10698, 0), (10698, 3)]",10697,3,a,"[10697, 10698, 10698]"," atrás dela veio [a] [a]legri[a], um domingo",8240
16,"[(11463, 2), (11464, 0), (11465, 0), (11465, 2)]",11463,4,a,"[11463, 11464, 11465, 11465]", despeito que lhe trazi[a] [a] [a]me[a]ça da separação;,8819
17,"[(11632, 0), (11636, 1), (11638, 1)]",11632,3,se,"[11632, 11636, 11638]",", entraria no [se]minário.
- vo[cê]? vo[cê] entra.
",8950
18,"[(11888, 0), (11888, 2), (11890, 0)]",11888,3,a,"[11888, 11888, 11890]", e proferi outras [a]me[a]ças. [a]o relembrá- las,9129
19,"[(12363, 1), (12365, 2), (12367, 2)]",12363,3,du,"[12363, 12365, 12367]"," da puerícia, rin[do], saltan[do], trocan[do] os papéis comigo",9491
20,"[(12450, 0), (12451, 0), (12452, 1)]",12450,3,a,"[12450, 12451, 12452]",", ou só [a]gradeceram [a] bo[a]
 intenção.",9556
21,"[(13182, 0), (13183, 0), (13184, 2)]",13182,3,a,"[13182, 13183, 13184]","
 copo de [á]gua [a] pesso[a] que tem obrigação",10107
22,"[(13753, 0), (13754, 2), (13756, 0), (13756, 3)]",13753,4,a,"[13753, 13754, 13756, 13756]"," berço e não [a] senti[a]
 [a]tenu[a]da pela vida!",10551
23,"[(13813, 0), (13815, 0), (13817, 0)]",13813,3,miw,"[13813, 13815, 13817]"," existência inteira. [mil], [mil], [mil]. Era preciso",10595
24,"[(15654, 0), (15655, 2), (15656, 2)]",15654,3,da,"[15654, 15655, 15656]"," obter o perdão [da] emen[da] aju[da]va assim
 o",11997
25,"[(16588, 0), (16592, 0), (16593, 0)]",16588,3,ko~,"[16588, 16592, 16593]"," assombrou foi esta [con]clusão:
- [con]to [com] o senhor para",12698
26,"[(18453, 0), (18454, 1), (18455, 1)]",18453,3,a,"[18453, 18454, 18455]"," todos nós, [a] ru[a] chei[a] de
 gente",14093
27,"[(18758, 1), (18760, 2), (18760, 5)]",18758,3,tSi,"[18758, 18760, 18760]"," também acompanhar o san[tís]simo. efe[ti]vamen[te], o sino",14332
28,"[(19825, 3), (19826, 0), (19828, 3)]",19825,3,a,"[19825, 19826, 19828]",", como já conheci[a] [a]
 distanci[a], e agora",15154
29,"[(19839, 2), (19840, 0), (19841, 3)]",19839,3,a,"[19839, 19840, 19841]",", o que fazi[a] [a] distanci[a] menor,-",15165
30,"[(19992, 0), (19993, 0), (19993, 2)]",19992,3,a,"[19992, 19993, 19993]", ficar abatida com [a] [a]me[a]ça da larga separação,15287
31,"[(20529, 0), (20530, 3), (20532, 0), (20533, 0)]",20529,4,a,"[20529, 20530, 20532, 20533]","
 idade e [a] simpati[a]. [a]inda [as]sim, estou que",15708
32,"[(20621, 0), (20622, 1), (20623, 5)]",20621,3,a,"[20621, 20622, 20623]", muito mais que [a] su[a] homeopati[a] de Cantagalo.,15779
33,"[(20711, 1), (20712, 1), (20713, 1)]",20711,3,ra,"[20711, 20712, 20713]", tempo com a ca[ra] vi[ra]da pa[ra] ele. Um,15847
34,"[(22374, 0), (22375, 0), (22378, 0), (22379, 0), (22381, 0)]",22374,5,a,"[22374, 22375, 22378, 22379, 22381]"," a obra, [a]largando [a]qui,
 [a]chatando [a]li, [a]té que exclamei:",17109
35,"[(22897, 2), (22899, 3), (22901, 2)]",22897,3,du,"[22897, 22899, 22901]"," Vendo- me cala[do], enfia[do], cosi[do] à parede,",17492
36,"[(24142, 0), (24142, 3), (24143, 0)]",24142,3,a,"[24142, 24142, 24143]"," de mim, [a]plaudi[a] [a] distinção, e",18424
37,"[(24274, 0), (24275, 0), (24275, 3)]",24274,3,a,"[24274, 24275, 24275]"," José Dias corrigiu [a] [a]legri[a]:
-",18527
38,"[(24431, 2), (24432, 0), (24433, 0)]",24431,3,dZi,"[24431, 24432, 24433]", deu- me vonta[de] [de] [di]zer um desaforo.,18646
39,"[(25088, 0), (25089, 0), (25090, 4)]",25088,3,a,"[25088, 25089, 25090]", depois. Vedes [a]í [a] cronologi[a] dos gestos.,19161
40,"[(25372, 0), (25373, 0), (25374, 0), (25376, 0)]",25372,4,a,"[25372, 25373, 25374, 25376]"," delas, mas [a]inda [a]gora [a]
 [a]ção não respondeu à",19375
41,"[(25664, 3), (25665, 0), (25667, 0), (25667, 6)]",25664,4,a,"[25664, 25665, 25667, 25667]",", que me resisti[a] [a]gora, [a]proveitari[a] o gesto para",19609
42,"[(26877, 0), (26877, 4), (26878, 0)]",26877,3,a,"[26877, 26877, 26878]"," suponha que não [a]conteci[a] [as]sim, e que",20561
43,"[(27041, 0), (27041, 3), (27042, 0)]",27041,3,a,"[27041, 27041, 27042]"," mãe, não [a]tendi[a] [a]os olhos
 ansiosos",20688
44,"[(27629, 0), (27631, 0), (27631, 2)]",27629,3,a,"[27629, 27631, 27631]"," que me
 [as]sustava, [a]bri[a]- me uma",21117
45,"[(28512, 0), (28513, 0), (28513, 2)]",28512,3,a,"[28512, 28513, 28513]"," é, que [a] [ha]vi[a] de cumprir,",21760
46,"[(29547, 0), (29550, 0), (29552, 0)]",29547,3,Re,"[29547, 29550, 29552]"," demorado. Capitu [re]fletia,
 [re]fletia, [re]fletia...",22561
47,"[(29547, 1), (29550, 1), (29552, 1)]",29547,3,fle,"[29547, 29550, 29552]"," demorado. Capitu re[fle]tia,
 re[fle]tia, re[fle]tia...",22561
