,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
0,"[(272, 0), (273, 0), (275, 2), (276, 0)]",272,4,a,"[272, 273, 275, 276]"," e freqüentava com [a]plicação [a]
 muru[a] [a] poracê o torê",213
1,"[(1120, 1), (1121, 0), (1122, 0), (1122, 2)]",1120,4,a,"[1120, 1121, 1122, 1122]","
 No outro di[a] [a] [ar]rai[a]da inda estava acabando",905
2,"[(2508, 0), (2510, 1), (2511, 0), (2514, 1)]",2508,4,du,"[2508, 2510, 2511, 2514]"," no
 teso [do] outro la[do] [do] rio. quan[do] a velha abriu",2024
3,"[(3814, 0), (3816, 0), (3818, 0), (3822, 0)]",3814,4,tSi~,"[3814, 3816, 3818, 3822]"," de alimentos, [ti]nha pacova [ti]nha milho [ti]nha macaxeira,
 [ti]nha alua e cachiri",3010
4,"[(3814, 1), (3816, 1), (3818, 1), (3822, 1)]",3814,4,Ja,"[3814, 3816, 3818, 3822]"," de alimentos, ti[nha] pacova ti[nha] milho ti[nha] macaxeira,
 ti[nha] alua e cachiri",3010
5,"[(5942, 1), (5943, 3), (5944, 2), (5946, 1), (5947, 3)]",5942,5,da,"[5942, 5943, 5944, 5946, 5947]"," das formigas, to[da] enfeita[da] ain[da], to[da] enfeita[da] de
 luz",4721
6,"[(6294, 1), (6297, 2), (6299, 1), (6299, 2)]",6294,4,ku,"[6294, 6297, 6299, 6299]",", invocando o a[cu]tipuru o
 muru[cu]tutu o du[cu][cu], todos esses",4994
7,"[(6346, 0), (6347, 0), (6349, 0), (6349, 4)]",6346,4,a,"[6346, 6347, 6349, 6349]","
 O herói [a]calmava [a]calmava e [a]dormeci[a] bem.
",5030
8,"[(6390, 0), (6391, 0), (6391, 2), (6392, 3), (6395, 0)]",6390,5,a,"[6390, 6391, 6391, 6392, 6395]"," feita em que [a] [ar]rai[a]da principi[a]va
 enxotando [a] escureza da noite",5066
9,"[(6826, 0), (6827, 0), (6828, 0), (6829, 0)]",6826,4,vi~,"[6826, 6827, 6828, 6829]"," busca nossa. [vi]nha [vin]do [vi]nha [vin]do, a
",5428
10,"[(9486, 0), (9488, 0), (9490, 0), (9493, 0)]",9486,4,dajs,"[9486, 9488, 9490, 9493]",". Nos ramos [das] igàzeiras [das] aningas [das]
 mamoranas [das] embaúbas dos catauaris",7547
11,"[(9512, 0), (9514, 0), (9515, 2), (9516, 0), (9518, 0), (9520, 0), (9521, 2), (9522, 0)]",9512,8,u,"[9512, 9514, 9515, 9516, 9518, 9520, 9521, 9522]"," de- cheiro [o] guariba [o] bugi[o] [o] cuatá [o] barrigudo [o] coxi[ú] [o]
 cairara,",7567
12,"[(9543, 0), (9546, 0), (9548, 0), (9550, 0), (9552, 0), (9555, 0)]",9543,6,sa,"[9543, 9546, 9548, 9550, 9552, 9555]",". E os [sa]biás, o [sa]biàcia o [sa]biàpoca o [sa]biàúna o [sa]biàpiranga
 o [sa]biàgonga que quando come",7592
13,"[(9543, 1), (9546, 1), (9548, 1), (9550, 1), (9552, 1), (9555, 1)]",9543,6,bi,"[9543, 9546, 9548, 9550, 9552, 9555]",". E os sa[bi]ás, o sa[bi]àcia o sa[bi]àpoca o sa[bi]àúna o sa[bi]àpiranga
 o sa[bi]àgonga que quando come",7592
14,"[(9545, 0), (9547, 0), (9549, 0), (9551, 0), (9554, 0)]",9545,5,u,"[9545, 9547, 9549, 9551, 9554]"," os sabiás, [o] sabiàcia [o] sabiàpoca [o] sabiàúna [o] sabiàpiranga
 [o] sabiàgonga que quando",7593
15,"[(10513, 0), (10515, 0), (10517, 0), (10519, 0), (10521, 0)]",10513,5,ko~,"[10513, 10515, 10517, 10519, 10521]"," Se
 mexia [com] eletricidade [com] fogo [com] água [com] vento [com]., fumo",8355
16,"[(11101, 0), (11102, 0), (11103, 0), (11105, 2), (11106, 2), (11108, 3)]",11101,6,ka,"[11101, 11102, 11103, 11105, 11106, 11108]"," as frutas, [ca]jus [ca]jás [ca]jàmangas mangas aba[ca]xis aba[ca]tes
 jaboti[ca]bas graviolas sapotis pupunhas",8831
17,"[(11210, 0), (11211, 0), (11213, 0), (11214, 0)]",11210,4,ka,"[11210, 11211, 11213, 11214]"," do zaiacúti a [ca]ça [ca]indo. [ca]ça [ca]ía
 com estrondo",8919
18,"[(11251, 0), (11255, 0), (11257, 1), (11258, 1), (11259, 0)]",11251,5,e,"[11251, 11255, 11257, 11258, 11259]"," saber o que [e]ra aquilo.
 [e] Venceslau pi[e]tro pi[e]tra [e]ra o gigante Piaimã",8954
19,"[(11597, 0), (11599, 0), (11601, 0), (11603, 0), (11606, 0)]",11597,5,u~,"[11597, 11599, 11601, 11603, 11606]"," caças duma vez [um] macuco [um] macaco [um] jacu [u]ma jacutinga
 [u]ma picota e uma",9199
20,"[(11598, 1), (11598, 2), (11600, 2), (11602, 1), (11604, 1)]",11598,5,ku,"[11598, 11598, 11600, 11602, 11604]"," duma vez um ma[cu][co] um maca[co] um ja[cu] uma ja[cu]tinga
 uma picota",9200
21,"[(13420, 1), (13422, 1), (13424, 0), (13426, 1), (13427, 1), (13428, 0)]",13420,6,e,"[13420, 13422, 13424, 13426, 13427, 13428]"," palácio de Venceslau pi[e]tro
 pi[e]tra. [e] Venceslau pi[e]tro pi[e]tra [e]ra o gigante Piaimã",10605
22,"[(14982, 0), (14985, 1), (14987, 2), (14988, 0)]",14982,4,dZi,"[14982, 14985, 14987, 14988]","
 cumpro bom [de] trepar. a[di]ante da cida[de] [de] Serra no Espírito",11836
23,"[(17045, 0), (17045, 4), (17047, 0), (17047, 4)]",17045,4,a,"[17045, 17045, 17047, 17047]"," e quando santo [a]pareci[a], [a]pareci[a] de deveras
",13409
24,"[(17647, 3), (17648, 0), (17650, 2), (17652, 3)]",17647,4,du,"[17647, 17648, 17650, 17652]",", o sangue coalha[do] [do] bode comi[do] e esfregan[do] a pasta
",13894
25,"[(17705, 0), (17707, 0), (17708, 2), (17709, 0)]",17705,4,a,"[17705, 17707, 17708, 17709]",".
 Quando [a]cabou, [a] fême[a] [a]briu os olhos,",13940
26,"[(17735, 0), (17736, 0), (17738, 0), (17739, 0)]",17735,4,e,"[17735, 17736, 17738, 17739]"," santo,
 [e]ra [e]xu. [e]ra [e]xu, o romãozinho",13964
27,"[(17899, 0), (17901, 0), (17903, 0), (17905, 0)]",17899,4,ujs,"[17899, 17901, 17903, 17905]"," a adoração. [os] ladrões [os] senadores [os] jecas [os] negros as
",14102
28,"[(18697, 2), (18698, 4), (18699, 2), (18701, 1)]",18697,4,du,"[18697, 18698, 18699, 18701]"," de potro, queima[do] enregela[do] mordi[do] e to[do] cheio das manchas",14744
29,"[(18863, 0), (18865, 0), (18866, 1), (18867, 0)]",18863,4,a,"[18863, 18865, 18866, 18867]"," Exu! Macunaíma [a]gradeceu. [a] ti[a] [a]cabou:
—",14868
30,"[(18908, 2), (18909, 2), (18911, 1), (18913, 5)]",18908,4,du,"[18908, 18909, 18911, 18913]","
 Exu ia saran[do] saran[do], tu[do] foi desaparecen[do] por encanto
",14900
31,"[(20401, 0), (20402, 0), (20404, 0), (20405, 0)]",20401,4,e,"[20401, 20402, 20404, 20405]"," das
 contas [e]le [e]ra um [he]rói [e] tinha dado tanto",16057
32,"[(20927, 0), (20929, 0), (20930, 0), (20932, 0)]",20927,4,a,"[20927, 20929, 20930, 20932]"," queimou e ralhou [as]sim: [a]ra [a]ra, [a]ra, meus
",16481
