,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
0,"[(272, 0), (273, 0), (275, 2), (276, 0)]",272,4,a,"[272, 273, 275, 276]"," e freqüentava com [a]plicação [a]
 muru[a] [a] poracê o torê",213
1,"[(1120, 1), (1121, 0), (1122, 0), (1122, 2), (1125, 0)]",1120,5,a,"[1120, 1121, 1122, 1122, 1125]","
 No outro di[a] [a] [ar]rai[a]da inda estava [a]cabando de trepar nas",905
2,"[(2508, 0), (2510, 1), (2511, 0), (2514, 1)]",2508,4,du,"[2508, 2510, 2511, 2514]"," no
 teso [do] outro la[do] [do] rio. quan[do] a velha abriu",2024
3,"[(3531, 4), (3532, 2), (3534, 4), (3537, 0)]",3531,4,du,"[3531, 3532, 3534, 3537]"," corpo. Foi desempenan[do] crescen[do]
 fortifican[do] e ficou [do] tamanho dum home",2782
4,"[(3814, 0), (3816, 0), (3818, 0), (3822, 0)]",3814,4,tSi~,"[3814, 3816, 3818, 3822]"," de alimentos, [ti]nha pacova [ti]nha milho [ti]nha macaxeira,
 [ti]nha alua e cachiri",3010
5,"[(3814, 1), (3816, 1), (3818, 1), (3822, 1)]",3814,4,Ja,"[3814, 3816, 3818, 3822]"," de alimentos, ti[nha] pacova ti[nha] milho ti[nha] macaxeira,
 ti[nha] alua e cachiri",3010
6,"[(4223, 0), (4226, 1), (4229, 1), (4231, 0)]",4223,4,a,"[4223, 4226, 4229, 4231]",", Iriqui deu [a] mão pra ma[a]nape,
 ma[a]nape deu [a] mão pra Jiguê",3348
7,"[(4436, 0), (4439, 0), (4443, 2), (4445, 2)]",4436,4,da,"[4436, 4439, 4443, 4445]"," lá nas praias [da] lagoa Espelho [da] Lua,
 coa[da] pela nhamun[dá]. A cunha",3523
8,"[(4437, 2), (4440, 1), (4443, 1), (4447, 0)]",4437,4,a,"[4437, 4440, 4443, 4447]"," nas praias da lago[a] Espelho da lu[a],
 co[a]da pela Nhamundá. [a] cunha era linda",3524
9,"[(4576, 0), (4579, 2), (4583, 0), (4584, 3)]",4576,4,a,"[4576, 4579, 4583, 4584]"," se vendo nas [a]marelas porque não podi[a] mesmo
 com [a] icami[a]ba, o herói",3641
10,"[(5942, 1), (5943, 3), (5944, 2), (5946, 1), (5947, 3), (5952, 2)]",5942,6,da,"[5942, 5943, 5944, 5946, 5947, 5952]"," das formigas, to[da] enfeita[da] ain[da], to[da] enfeita[da] de
 luz, vira[da] numa estrela.",4721
