,pares_ordenados,primeira_palavra,comprimento,fonema,palavras,frase,abs_posicao
0,"[(43, 0), (44, 0), (44, 2), (47, 0), (48, 1)]",43,5,a,"[43, 44, 44, 47, 48]",", perdeu toda [a] [a]tu[a]lidade, remorada [a] su[a]
 publicação em",34
1,"[(506, 0), (507, 1), (510, 0), (511, 1)]",506,4,ni,"[506, 507, 510, 511]"," n altèrent
 [ni] u[ne] date, [ni] u[ne] généalogie, mais",397
2,"[(1248, 0), (1250, 0), (1250, 3), (1251, 0)]",1248,4,a,"[1248, 1250, 1250, 1251]"," nenhuma
 se [a]figura tão [a]feiço[a]da [à] Vida.
",967
3,"[(2008, 0), (2009, 0), (2009, 3), (2010, 0)]",2008,4,a,"[2008, 2009, 2009, 2010]"," de nível, [a]penas [a]ponto[a]do [a]
 leste pelos",1566
4,"[(2607, 0), (2608, 0), (2610, 0), (2612, 0), (2612, 3), (2614, 0), (2617, 0)]",2607,7,a,"[2607, 2608, 2610, 2612, 2612, 2614, 2617]","- se progredir [a]té [a]o plateau [a]renoso do [a]çuru[á], [as]sociando- se [a]o calcário
 que",2021
5,"[(3429, 2), (3431, 0), (3432, 0), (3433, 0)]",3429,4,a,"[3429, 3431, 3432, 3433]"," se pelos
 povo[a]dos que [a] [a]beiram [a]companhando insignificantes cursos de",2644
6,"[(3998, 2), (3998, 3), (3999, 0), (4000, 1)]",3998,4,da,"[3998, 3998, 3999, 4000]"," torneando a truncadura malgra[da][da] [da] bor[da]
 de um",3088
7,"[(6430, 0), (6432, 0), (6435, 0), (6438, 0)]",6430,4,a,"[6430, 6432, 6435, 6438]"," que sumariamos reforçam [a] concepção [a]venturosa.
 [a]lentam- na [a]inda: o estranho",4934
8,"[(6635, 0), (6636, 0), (6639, 2), (6642, 0)]",6635,4,a,"[6635, 6636, 6639, 6642]",", ligando o [a]tlântico [a]o Pacífico. cobri[a],
 [as]sim, grande parte",5096
9,"[(6749, 0), (6750, 1), (6752, 2), (6754, 1), (6755, 1)]",6749,5,du,"[6749, 6750, 6752, 6754, 6755]"," mais antigo
 [do] mun[do]— segun[do] a de[du]ção de[du]ção de Gerber,",5180
