palavra,Anger,Anticipation,Disgust,Fear,Joy,Sadness,Surprise,Trust
1,0,0,0,0,0,0,0,0
Os,0,0,0,0,0,0,0,0
Sertões,0,0,0,0,0,0,0,0
Euclides,0,0,0,0,0,0,0,0
da,0,0,0,0,0,0,0,0
Cunha,0,0,0,0,0,0,0,0
Nota,0,0,0,0,0,0,0,0
Preliminar,0,0,0,0,0,0,0,0
Escrito,0,0,0,0,0,0,0,0
nos,0,0,0,0,0,0,0,0
raros,0,0,0,0,0,0,0,0
intervalos,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
folga,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
uma,0,0,0,0,0,0,0,0
carreira,0,1,0,0,0,0,0,0
fatigante,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
este,0,0,0,0,0,0,0,0
livro,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
princípio,0,0,0,0,0,0,0,0
se,0,0,0,0,0,0,0,0
resumia,0,0,0,0,0,0,0,0
à,0,0,0,0,0,0,0,0
história,0,0,0,0,0,0,0,0
da,0,0,0,0,0,0,0,0
Campanha,1,0,0,1,0,0,0,0
de,0,0,0,0,0,0,0,0
Canudos,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
perdeu,1,0,1,1,0,1,1,0
toda,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
atualidade,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
remorada,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
sua,0,0,0,0,0,0,0,0
publicação,0,0,0,0,0,0,0,0
em,0,0,0,0,0,0,0,0
virtude,0,0,0,0,0,0,0,1
de,0,0,0,0,0,0,0,0
causas,0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
temos,0,0,0,0,0,0,0,0
por,0,0,0,0,0,0,0,0
escusado,0,0,0,0,0,0,0,0
apontar,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
Demos-lhe,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
por,0,0,0,0,0,0,0,0
isto,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
outra,0,0,0,0,0,0,0,0
feição,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
tomando,0,0,0,0,0,0,0,0
apenas,0,0,0,0,0,0,0,0
variante,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
assunto,0,0,0,0,0,0,0,0
geral,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
tema,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
princípio,0,0,0,0,0,0,0,0
dominante,0,0,0,1,0,0,0,0
",",0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
sugeriu,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
Intentamos,0,0,0,0,0,0,0,0
esboçar,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
palidamente,0,0,0,0,0,0,0,0
embora,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
ante,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
olhar,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
futuros,0,0,0,0,0,0,0,0
historiadores,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
os,0,0,0,0,0,0,0,0
traços,0,0,0,0,0,0,0,0
atuais,0,0,0,0,0,0,0,0
mais,0,0,0,0,0,0,0,0
expressivos,0,0,0,0,0,0,0,0
das,0,0,0,0,0,0,0,0
sub-raças,0,0,0,0,0,0,0,0
sertanejas,0,0,0,0,0,0,0,0
do,0,0,0,0,0,0,0,0
Brasil,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
E,0,0,0,0,0,0,0,0
fazêmo-lo,0,0,0,0,0,0,0,0
porque,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
sua,0,0,0,0,0,0,0,0
instabilidade,0,0,1,1,0,0,0,0
de,0,0,0,0,0,0,0,0
complexos,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
fatores,0,0,0,0,0,0,0,0
múltiplos,0,0,0,0,0,0,0,0
e,0,0,0,0,0,0,0,0
diversamente,0,0,0,0,0,0,0,0
combinados,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
aliada,0,0,0,0,0,0,0,0
às,0,0,0,0,0,0,0,0
vicissitudes,0,0,0,0,0,0,0,0
históricas,0,0,0,0,0,0,0,0
e,0,0,0,0,0,0,0,0
deplorável,1,0,1,1,0,1,0,0
situação,0,0,0,0,0,0,0,0
mental,0,0,0,0,0,0,0,0
em,0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
jazem,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
as,0,0,0,0,0,0,0,0
tomam,0,0,0,0,0,0,0,0
talvez,0,0,0,0,0,0,0,0
efêmeras,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
destinadas,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
próximo,0,0,0,0,0,0,0,0
desaparecimento,0,0,0,0,0,0,0,0
ante,0,0,0,0,0,0,0,0
as,0,0,0,0,0,0,0,0
exigências,0,0,0,0,0,0,0,0
crescentes,0,0,0,0,0,0,0,0
da,0,0,0,0,0,0,0,0
civilização,0,0,0,0,0,0,0,1
e,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
concorrência,0,1,0,0,0,0,0,0
material,0,0,0,0,0,0,0,0
intensiva,0,0,0,0,0,0,0,0
das,0,0,0,0,0,0,0,0
correntes,0,0,0,0,0,0,0,0
migratórias,0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
começam,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
invadir,1,0,0,1,0,1,1,0
profundamente,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
nossa,0,0,0,0,0,0,0,0
terra,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
O,0,0,0,0,0,0,0,0
jagunço,0,0,0,0,0,0,0,0
destemeroso,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
tabaréu,0,0,0,0,0,0,0,0
ingênuo,0,0,0,0,0,0,0,0
e,0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
caipira,0,0,0,0,0,0,0,0
simplório,0,0,0,0,0,0,0,0
serão,0,0,0,0,0,0,0,0
em,0,0,0,0,0,0,0,0
breve,0,0,0,0,0,0,0,0
tipos,0,0,0,0,0,0,0,0
relegados,0,0,0,0,0,0,0,0
às,0,0,0,0,0,0,0,0
tradições,0,0,0,0,0,0,0,0
evanescentes,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
ou,0,0,0,0,0,0,0,0
extintas,0,0,0,0,0,1,0,0
.,0,0,0,0,0,0,0,0
Primeiros,0,0,0,0,0,0,0,0
efeitos,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
variados,0,0,0,0,0,0,0,0
cruzamentos,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
destinavam-se,0,0,0,0,0,0,0,0
talvez,0,0,0,0,0,0,0,0
à,0,0,0,0,0,0,0,0
formação,0,0,0,0,0,0,0,0
dos,0,0,0,0,0,0,0,0
princípios,0,0,0,0,0,0,0,0
imediatos,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
uma,0,0,0,0,0,0,0,0
grande,0,0,0,0,0,0,0,0
raça,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
Faltou-lhes,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
porém,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
uma,0,0,0,0,0,0,0,0
situação,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
parada,0,1,0,1,1,0,1,0
",",0,0,0,0,0,0,0,0
o,0,0,0,0,0,0,0,0
equilíbrio,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
Ihes,0,0,0,0,0,0,0,0
não,0,0,0,0,0,0,0,0
permite,0,0,0,0,0,0,0,0
mais,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
velocidade,0,0,0,0,0,0,0,0
adquirida,0,0,0,0,0,0,0,0
pela,0,0,0,0,0,0,0,0
marcha,0,0,0,0,0,0,0,0
dos,0,0,0,0,0,0,0,0
povos,0,0,0,0,0,0,0,0
neste,0,0,0,0,0,0,0,0
século,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
Retardatários,0,0,0,0,0,0,0,0
hoje,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
amanhã,0,1,0,0,0,0,0,0
se,0,0,0,0,0,0,0,0
extinguirão,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
todo,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0
civilização,0,0,0,0,0,0,0,1
avançará,0,0,0,0,0,0,0,0
nos,0,0,0,0,0,0,0,0
sertões,0,0,0,0,0,0,0,0
impelida,0,0,0,0,0,0,0,0
por,0,0,0,0,0,0,0,0
essa,0,0,0,0,0,0,0,0
implacável,0,0,0,0,0,0,0,0
força,0,0,0,0,0,0,0,1
motriz,0,0,0,0,0,0,0,0
da,0,0,0,0,0,0,0,0
História,0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
Gumplowicz,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
maior,0,0,1,0,0,0,1,1
do,0,0,0,0,0,0,0,0
que,0,0,0,0,0,0,0,0
Hobbes,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
lobrigou,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0
num,0,0,0,0,0,0,0,0
lance,0,0,0,0,0,0,0,0
genial,0,0,0,0,1,0,0,0
",",0,0,0,0,0,0,0,0
no,0,0,0,0,0,0,0,0
esmagamento,0,0,0,0,0,0,0,0
inevitável,0,0,0,0,0,0,0,0
das,0,0,0,0,0,0,0,0
raças,0,0,0,0,0,0,0,0
fracas,0,0,0,0,0,1,0,0
pelas,0,0,0,0,0,0,0,0
raças,0,0,0,0,0,0,0,0
fortes,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0
A,0,0,0,0,0,0,0,0
campanha,1,0,0,1,0,0,0,0
de,0,0,0,0,0,0,0,0
Canudos,0,0,0,0,0,0,0,0
tem,0,0,0,0,0,0,0,0
por,0,0,0,0,0,0,0,0
isto,0,0,0,0,0,0,0,0
a,0,0,0,0,0,0,0,0
significação,0,0,0,0,0,0,0,0
inegável,0,0,0,0,0,0,0,0
de,0,0,0,0,0,0,0,0
um,0,0,0,0,0,0,0,0
