palavra,lema
1,1
Os,o
Sertões,sertõe
Euclides,euclides
da,da
Cunha,cunha
Nota,nota
Preliminar,preliminar
Escrito,escrito
nos,nos
raros,raro
intervalos,intervalo
de,de
folga,folga
de,de
uma,um
carreira,carreira
fatigante,fatigante
",",","
este,este
livro,livro
",",","
que,que
a,o
princípio,princípio
se,se
resumia,resumia
à,à
história,história
da,da
Campanha,campanha
de,de
Canudos,canudo
",",","
perdeu,perder
toda,todo
a,o
atualidade,atualidade
",",","
remorada,remorado
a,o
sua,seu
publicação,publicação
em,em
virtude,virtude
de,de
causas,causa
que,que
temos,ter
por,por
escusado,escusado
apontar,apontar
.,.
Demos-lhe,demos-lhe
",",","
por,por
isto,isto
",",","
outra,outro
feição,feição
",",","
tomando,tomar
apenas,apenas
variante,variante
de,de
assunto,assunto
geral,geral
o,o
tema,tema
",",","
a,o
princípio,princípio
dominante,dominante
",",","
que,que
o,o
sugeriu,sugeriu
.,.
Intentamos,intentamo
esboçar,esboçar
",",","
palidamente,palidamente
embora,embora
",",","
ante,ante
o,o
olhar,olhar
de,de
futuros,futuro
historiadores,historiador
",",","
os,o
traços,traço
atuais,atual
mais,mais
expressivos,expressivo
das,das
sub-raças,sub-raça
sertanejas,sertanejo
do,do
Brasil,brasil
.,.
E,e
fazêmo-lo,fazêmo-lo
porque,porque
a,o
sua,seu
instabilidade,instabilidade
de,de
complexos,complexo
de,de
fatores,fator
múltiplos,múltiplo
e,e
diversamente,diversamente
combinados,combinar
",",","
aliada,aliar
às,à
vicissitudes,vicissitude
históricas,histórico
e,e
deplorável,deplorável
situação,situação
mental,mental
em,em
que,que
jazem,jazem
",",","
as,o
tomam,tomar
talvez,talvez
efêmeras,efêmera
",",","
destinadas,destinar
a,o
próximo,próximo
desaparecimento,desaparecimento
ante,ante
as,o
exigências,exigência
crescentes,crescente
da,da
civilização,civilização
e,e
a,o
concorrência,concorrência
material,material
intensiva,intensivo
das,das
correntes,corrente
migratórias,migratória
que,que
começam,comer
a,a
invadir,invadir
profundamente,profundamente
a,o
nossa,nosso
terra,terra
.,.
O,o
jagunço,jagunço
destemeroso,destemeroso
",",","
o,o
tabaréu,tabaréu
ingênuo,ingênuo
e,e
o,o
caipira,caipira
simplório,simplório
serão,serão
em,em
breve,breve
tipos,tipo
relegados,relegado
às,à
tradições,tradiçõe
evanescentes,evanescente
",",","
ou,ou
extintas,extinto
.,.
Primeiros,primeiro
efeitos,efeito
de,de
variados,variar
cruzamentos,cruzamento
",",","
destinavam-se,destinavam-se
talvez,talvez
à,à
formação,formação
dos,dos
princípios,princípio
imediatos,imediato
de,de
uma,um
grande,grande
raça,raça
.,.
Faltou-lhes,faltou-lhe
",",","
porém,porém
",",","
uma,um
situação,situação
de,de
parada,parada
",",","
o,o
equilíbrio,equilíbrio
",",","
que,que
Ihes,ihe
não,não
permite,permitir
mais,mais
a,o
velocidade,velocidade
adquirida,adquirido
pela,pela
marcha,marcha
dos,dos
povos,povo
neste,neste
século,século
.,.
Retardatários,retardatário
hoje,hoje
",",","
amanhã,amanhã
se,se
extinguirão,extinguirão
de,de
todo,todo
.,.
A,o
civilização,civilização
avançará,avançará
nos,nos
sertões,sertõe
impelida,impelido
por,por
essa,esse
implacável,implacável
força,força
motriz,motriz
da,da
História,história
que,que
Gumplowicz,gumplowicz
",",","
maior,grande
do,do
que,que
Hobbes,hobbe
",",","
lobrigou,lobrigou
",",","
num,num
lance,lanÃ§ar
genial,genial
",",","
no,no
esmagamento,esmagamento
inevitável,inevitável
das,das
raças,raça
fracas,fraco
pelas,pelas
raças,raça
fortes,forte
.,.
A,o
campanha,campanha
de,de
Canudos,canudo
tem,ter
por,por
isto,isto
a,o
significação,significação
inegável,inegável
de,de
um,um
primeiro,primeiro
assalto,assalto
",",","
em,em
luta,luta
talvez,talvez
longa,longo
.,.
Nem,nem
enfraquece,enfraquece
o,o
asserto,asserto
o,o
termo-la,termo-la
realizado,realizar
nós,nó
filhos,filho
do,do
mesmo,mesmo
solo,solo
",",","
porque,porque
",",","
etnologicamente,etnologicamente
indefinidos,indefinido
",",","
sem,sem
tradições,tradiçõe
nacionais,nacional
uniformes,uniforme
",",","
vivendo,viver
parasitariamente,parasitariamente
à,à
beira,beira
do,do
Atlântico,atlântico
",",","
dos,dos
princípios,princípio
civilizadores,civilizador
elaborados,elaborado
na,na
Europa,europa
",",","
e,e
armados,armar
pela,pela
indústria,indústria
alemã,alemã
-,-
tivemos,ter
na,na
ação,ação
um,um
papel,papel
singular,singular
de,de
mercenários,mercenário
2,2
inconscientes,inconsciente
.,.
Além,além
disto,disto
",",","
mal,mal
unidos,unido
àqueles,àquele
extraordinários,extraordinário
patrícios,patrício
pelo,pelo
solo,solo
em,em
parte,parte
desconhecido,desconhecer
",",","
deles,dele
de,de
todo,todo
nos,nos
separa,separar
uma,um
coordenada,coordenada
histórica,histórico
-,-
o,o
tempo,tempo
.,.
Aquela,aquela
campanha,campanha
lembra,lembrar
um,um
refluxo,refluxo
para,para
o,o
passado,passado
.,.
E,e
foi,ser
",",","
na,na
significação,significação
integral,integral
da,da
palavra,palavra
",",","
um,um
crime,crime
.,.
Denunciemo-lo,denunciemo-lo
.,.
E,e
tanto,tanto
quanto,quanto
o,o
permitir,permitir
a,o
firmeza,firmeza
do,do
nosso,nosso
espírito,espíro
façamos,façamo
jus,jus
ao,ao
admirável,admirável
conceito,conceito
de,de
Taine,taine
sobre,sobre
o,o
narrador,narrador
