palavra,np
1,ADVL
Os,>N
Sertões,SUBJ
Euclides,N<
da,N<
Cunha,ACC
Nota,N<
Preliminar,SUBJ
Escrito,STA
nos,ACC
raros,N<
intervalos,ACC
de,N<
folga,P<
de,N<
uma,ADVL
carreira,ACC
fatigante,ADVL
",",PUnc
este,ADVL
livro,ADVL
",",PUnc
que,ACC
a,N<
princípio,ACC
se,ACC
resumia,ADVL
à,ACC
história,ACC
da,N<
Campanha,N<
de,N<
Canudos,N<
",",PUnc
perdeu,ADVL
toda,ADVL
a,ACC
atualidade,P<
",",PUnc
remorada,N<PRED
a,N<
sua,ACC
publicação,ACC
em,ADVL
virtude,ADVL
de,N<
causas,ACC
que,ACC
temos,N<
por,ADVL
escusado,ADVL
apontar,ADVL
.,PUnc
Demos-lhe,N<
",",PUnc
por,ADVL
isto,CJT
",",PUnc
outra,CJT
feição,CJT
",",PUnc
tomando,ADVL
apenas,>N
variante,ADVL
de,N<
assunto,ADVL
geral,ACC
o,ACC
tema,ACC
",",PUnc
a,ADVL
princípio,>N
dominante,N<
",",ACC
que,ACC
o,N<PRED
sugeriu,N<
.,PUnc
Intentamos,SUBJ
esboçar,ADVL
",",PUnc
palidamente,ADVL
embora,N<PRED
",",PUnc
ante,ADVL
o,ACC
olhar,ADVL
de,N<
futuros,P<
historiadores,ACC
",",PUnc
os,ACC
traços,ADVL
atuais,N<
mais,N<
expressivos,N<
das,ACC
sub-raças,N<
sertanejas,ACC
do,ADVL
Brasil,N<
.,PUnc
E,STA
fazêmo-lo,ADVL
porque,STA
a,ADVL
sua,ADVL
instabilidade,P<
de,N<
complexos,N<
de,N<
fatores,P<
múltiplos,ACC
e,ACC
diversamente,ADVL
combinados,CJT
",",PUnc
aliada,ADVL
às,SUBJ
vicissitudes,SUBJ
históricas,N<
e,ACC
deplorável,N<
situação,ACC
mental,N<
em,ADVL
que,ACC
jazem,N<
",",PUnc
as,CJT
tomam,STA
talvez,ADVL
efêmeras,N<
",",PUnc
destinadas,CJT
a,ACC
próximo,ACC
desaparecimento,ADVL
ante,ADVL
as,ADVL
exigências,ADVL
crescentes,P<
da,N<
civilização,N<
e,CO
a,ACC
concorrência,ADVL
material,N<
intensiva,N<
das,ADVL
correntes,SUBJ
migratórias,SUBJ
que,ACC
começam,N<
a,N<
invadir,MV
profundamente,ACC
a,ACC
nossa,ACC
terra,ADVL
.,PUnc
O,STA
jagunço,SUBJ
destemeroso,N<
",",PUnc
o,ACC
tabaréu,CJT
ingênuo,ACC
e,ACC
o,ACC
caipira,CJT
simplório,N<
serão,ACC
em,ADVL
breve,ADVL
tipos,ACC
relegados,>N
às,N<
tradições,ACC
evanescentes,ADVL
",",PUnc
ou,N<PRED
extintas,CJT
.,PUnc
Primeiros,ADVL
efeitos,N<
de,N<
variados,P<
cruzamentos,N<
",",PUnc
destinavam-se,ADVL
talvez,ADVL
à,ADVL
formação,ACC
dos,N<
princípios,N<
imediatos,N<
de,N<
uma,>N
grande,>N
raça,ADVL
.,PUnc
Faltou-lhes,SUBJ
",",PUnc
porém,ADVL
",",PUnc
uma,ADVL
situação,ACC
de,N<
parada,N<
",",PUnc
o,N<PRED
equilíbrio,N<
",",PUnc
que,ACC
Ihes,SUBJ
não,ADVL
permite,ADVL
mais,ADVL
a,ACC
velocidade,STA
adquirida,ADVL
pela,N<
marcha,ACC
dos,SUBJ
povos,ACC
neste,>N
século,ADVL
.,PUnc
Retardatários,SUBJ
hoje,ADVL
",",PUnc
amanhã,ADVL
se,ACC
extinguirão,P<
de,N<ARGO
todo,P<
.,PUnc
A,>N
civilização,SUBJ
avançará,STA
nos,ACC
sertões,N<
impelida,P<
por,SUBJ
essa,SUBJ
implacável,ACC
força,ACC
motriz,STA
da,ADVL
História,ACC
que,ACC
Gumplowicz,N<
",",PUnc
maior,N<PRED
do,N<PRED
que,ACC
Hobbes,N<
",",PUnc
lobrigou,CJT
",",PUnc
num,N<PRED
lance,N<PRED
genial,ACC
",",PUnc
no,ADVL
esmagamento,SUBJ
inevitável,STA
das,N<
raças,ACC
fracas,ACC
pelas,N<
raças,>N
fortes,ACC
.,PUnc
A,STA
campanha,STA
de,N<
Canudos,N<
tem,ACC
por,ADVL
isto,ACC
a,ADVL
significação,ACC
inegável,ACC
de,N<
um,>N
primeiro,>N
assalto,N<
",",PUnc
em,ADVL
luta,>N
talvez,ADVL
longa,ACC
.,PUnc
Nem,SUBJ
enfraquece,STA
o,ACC
asserto,ACC
o,ACC
termo-la,ACC
realizado,N<
nós,ACC
filhos,ACC
do,ADVL
mesmo,ACC
solo,ADVL
",",PUnc
porque,ADVL
",",PUnc
etnologicamente,ADVL
indefinidos,SUBJ
",",PUnc
sem,N<PRED
tradições,ACC
nacionais,N<
uniformes,N<
",",PUnc
vivendo,ADVL
parasitariamente,ADVL
à,N<
beira,N<
do,ADVL
Atlântico,ADVL
",",PUnc
dos,N<PRED
princípios,>N
civilizadores,N<
elaborados,ACC
na,ACC
Europa,N<
",",PUnc
e,CO
armados,>N
pela,STA
indústria,N<
alemã,ADVL
-,>N
tivemos,SUBJ
na,ADVL
ação,ACC
um,ADVL
papel,ACC
singular,N<PRED
de,N<
mercenários,ACC
2,N<
inconscientes,N<
.,PUnc
Além,ADVL
disto,STA
",",PUnc
mal,>N
unidos,ADVL
àqueles,ACC
extraordinários,SUBJ
patrícios,ACC
pelo,ADVL
solo,N<
em,ADVL
parte,ACC
desconhecido,N<
",",PUnc
deles,ADVL
de,SUBJ
todo,>N
nos,ACC
separa,ADVL
uma,>N
coordenada,>N
histórica,N<
-,>N
o,>N
tempo,ADVL
.,PUnc
Aquela,SUBJ
campanha,N<
lembra,SUBJ
