palavra,POSTag
1,num
Os,art
Sertões,N
Euclides,prop
da,ADP
Cunha,N
Nota,N
Preliminar,N
Escrito,N
nos,ADP
raros,N
intervalos,n
de,prp
folga,n
de,prp
uma,art
carreira,n
fatigante,N
",",punc
este,pron-det
livro,n
",",punc
que,pron-indp
a,art
princípio,n
se,pron-pers
resumia,N
à,ADP
história,n
da,ADP
Campanha,n
de,prp
Canudos,N
",",punc
perdeu,v-fin
toda,pron-det
a,art
atualidade,N
",",punc
remorada,N
a,art
sua,pron-det
publicação,n
em,prp
virtude,n
de,prp
causas,n
que,pron-indp
temos,v-fin
por,prp
escusado,N
apontar,v-inf
.,punc
Demos-lhe,N
",",punc
por,prp
isto,pron-indp
",",punc
outra,pron-det
feição,n
",",punc
tomando,v-ger
apenas,adv
variante,n
de,prp
assunto,n
geral,adj
o,art
tema,n
",",punc
a,art
princípio,n
dominante,adj
",",punc
que,pron-indp
o,art
sugeriu,N
.,punc
Intentamos,N
esboçar,v-inf
",",punc
palidamente,N
embora,conj-s
",",punc
ante,N
o,art
olhar,n
de,prp
futuros,adj
historiadores,N
",",punc
os,art
traços,n
atuais,adj
mais,adv
expressivos,N
das,ADP
sub-raças,N
sertanejas,N
do,ADP
Brasil,prop
.,punc
E,conj-c
fazêmo-lo,N
porque,conj-s
a,art
sua,pron-det
instabilidade,n
de,prp
complexos,adj
de,prp
fatores,n
múltiplos,N
e,conj-c
diversamente,N
combinados,v-pcp
",",punc
aliada,v-pcp
às,N
vicissitudes,N
históricas,adj
e,conj-c
deplorável,N
situação,n
mental,adj
em,prp
que,pron-indp
jazem,N
",",punc
as,pron-pers
tomam,v-fin
talvez,adv
efêmeras,N
",",punc
destinadas,v-pcp
a,art
próximo,adj
desaparecimento,n
ante,N
as,art
exigências,n
crescentes,N
da,ADP
civilização,n
e,conj-c
a,art
concorrência,n
material,adj
intensiva,N
das,ADP
correntes,adj
migratórias,adj
que,pron-indp
começam,v-fin
a,prp
invadir,v-inf
profundamente,adv
a,art
nossa,pron-det
terra,n
.,punc
O,art
jagunço,N
destemeroso,N
",",punc
o,art
tabaréu,N
ingênuo,adj
e,conj-c
o,art
caipira,adj
simplório,N
serão,v-fin
em,prp
breve,n
tipos,n
relegados,N
às,N
tradições,n
evanescentes,N
",",punc
ou,conj-c
extintas,N
.,punc
Primeiros,N
efeitos,n
de,prp
variados,v-pcp
cruzamentos,n
",",punc
destinavam-se,N
talvez,adv
à,ADP
formação,n
dos,ADP
princípios,n
imediatos,adj
de,prp
uma,art
grande,adj
raça,n
.,punc
Faltou-lhes,N
",",punc
porém,adv
",",punc
uma,art
situação,n
de,prp
parada,n
",",punc
o,art
equilíbrio,n
",",punc
que,pron-indp
Ihes,N
não,adv
permite,v-fin
mais,adv
a,art
velocidade,n
adquirida,N
pela,ADP
marcha,n
dos,ADP
povos,n
neste,ADP
século,n
.,punc
Retardatários,N
hoje,adv
",",punc
amanhã,adv
se,pron-pers
extinguirão,N
de,prp
todo,pron-det
.,punc
A,art
civilização,n
avançará,N
nos,ADP
sertões,N
impelida,N
por,prp
essa,pron-det
implacável,N
força,n
motriz,N
da,ADP
História,prop
que,pron-indp
Gumplowicz,N
",",punc
maior,adj
do,ADP
que,pron-indp
Hobbes,N
",",punc
lobrigou,N
",",punc
num,ADP
lance,v-fin
genial,adj
",",punc
no,ADP
esmagamento,N
inevitável,adj
das,ADP
raças,n
fracas,N
pelas,ADP
raças,n
fortes,adj
.,punc
A,art
campanha,n
de,prp
Canudos,N
tem,v-fin
por,prp
isto,pron-indp
a,art
significação,N
inegável,N
de,prp
um,art
primeiro,adj
assalto,n
",",punc
em,prp
luta,n
talvez,adv
longa,adj
.,punc
Nem,adv
enfraquece,N
o,art
asserto,N
o,art
termo-la,N
realizado,v-pcp
nós,pron-pers
filhos,n
do,ADP
mesmo,pron-det
solo,n
",",punc
porque,conj-s
",",punc
etnologicamente,N
indefinidos,N
",",punc
sem,prp
tradições,n
nacionais,adj
uniformes,n
",",punc
vivendo,v-ger
parasitariamente,N
à,ADP
beira,n
do,ADP
Atlântico,N
",",punc
dos,ADP
princípios,n
civilizadores,N
elaborados,N
na,ADP
Europa,prop
",",punc
e,conj-c
armados,v-pcp
pela,ADP
indústria,n
alemã,adj
-,punc
tivemos,v-fin
na,ADP
ação,n
um,art
papel,n
singular,n-adj
de,prp
mercenários,n
2,num
inconscientes,N
.,punc
Além,adv
disto,N
",",punc
mal,adv
unidos,N
àqueles,N
extraordinários,N
patrícios,N
pelo,ADP
solo,n
em,prp
parte,n
desconhecido,v-pcp
",",punc
deles,N
de,prp
todo,pron-det
nos,ADP
separa,v-fin
uma,art
coordenada,N
histórica,adj
-,punc
o,art
tempo,n
.,punc
Aquela,N
campanha,n
lembra,v-fin
um,art
refluxo,N
para,prp
o,art
passado,n
.,punc
E,conj-c
foi,v-fin
",",punc
na,ADP
significação,N
integral,adj
da,ADP
palavra,n
",",punc
um,art
crime,n
.,punc
Denunciemo-lo,N
.,punc
E,conj-c
tanto,adv
quanto,pron-det
o,art
permitir,v-inf
a,art
firmeza,n
do,ADP
nosso,pron-det
espírito,n
façamos,N
jus,N
ao,prp
admirável,N
conceito,n
de,prp
Taine,N
sobre,prp
o,art
narrador,n
sincero,adj
que,pron-indp
encara,v-fin
a,prp
História,prop
como,adv
ela,pron-pers
merece,v-fin
:,N
il,N
s,n
’,N
irrite,N
contre,N
les,N
demi,N
vérités,N
que,pron-indp
sont,N
des,N
demi,N
faussetés,N
",",punc
contre,N
les,N
auteurs,N
qui,N
n,N
’,N
altèrent,N
ni,N
une,v-fin
date,N
",",punc
ni,N
une,v-fin
généalogie,N
",",punc
mais,adv
dénaturent,N
les,N
sentiments,N
et,N
les,N
moeurs,N
",",punc
qui,N
gardent,N
le,N
dessin,N
des,N
événements,N
et,N
en,N
changent,N
la,pron-pers
couleur,N
",",punc
qui,N
copient,N
les,N
faits,N
et,N
défigurent,N
l'âme,N
.,punc
il,N
veut,N
sentir,v-inf
en,N
barbare,N
",",punc
parmi,N
les,N
barbares,N
",",punc
et,N
",",punc
parmi,N
les,N
anciens,N
",",punc
en,N
ancien..,N
Euclides,prop
da,ADP
Cunha,N
.,punc
São,v-fin
Paulo,N
",",punc
1901,N
3,num
A,art
TERRA,N
I.,N
Preliminares,N
.,punc
A,art
entrada,n
do,ADP
sertão,N
.,punc
Terra,n
ignota,N
.,punc
Em,prp
caminho,n
para,prp
Monte,N
Santo,N
.,punc
Primeiras,N
impressões,n
.,punc
Um,art
sonho,n
de,prp
geólogo,N
.,punc
II,adj
.,punc
Golpe,N
de,prp
vista,n
do,ADP
alto,adj
de,prp
Monte,N
Santo,N
.,punc
Do,ADP
alto,adj
da,ADP
Favela,N
.,punc
III,adj
.,punc
O,art
clima,n
.,punc
Higrômetros,N
singulares,adj
.,punc
IV,N
.,punc
As,art
secas,adj
.,punc
Hipóteses,N
sobre,prp
a,art
sua,pron-det
gênese,N
.,punc
As,art
caatingas,N
.,punc
V.,N
Uma,art
categoria,n
geográfica,adj
que,pron-indp
Hegel,N
não,adv
citou,N
.,punc
Como,adv
se,pron-pers
faz,v-fin
um,art
deserto,n
.,punc
Como,adv
se,pron-pers
extingue,N
o,art
deserto,n
.,punc
O,art
martírio,N
secular,N
da,ADP
terra,n
.,punc
4,num
Capítulo,N
I,adj
Preliminares,N
O,art
Planalto,n
Central,N
do,ADP
Brasil,prop
desce,v-fin
",",punc
nos,pron-pers
litorais,N
do,ADP
Sul,n
",",punc
em,prp
escarpas,N
inteiriças,N
",",punc
altas,adj
e,conj-c
abruptas,N
.,punc
Assoberba,N
os,art
mares,n
.,punc
e,conj-c
desata-se,N
em,prp
chapadões,N
nivelados,N
pelos,ADP
visos,N
